Property Name,Marketing Source,Leads,Tours,Applications,Leases,Total Marketing Spend,$ / Lead,$ / Tour,$ / Application,$ / Lease
AVA,Other,200.83,91.8,31.25,21.28,$0.00,-,-,-,-
AVA,Google Search,361.5,71.95,15.16,10.7,$0.00,-,-,-,-
AVA,ApartmentList,136.83,7.17,2,1.45,$0.00,-,-,-,-
AVA,Apartments.com,850.34,110.37,29.12,10.12,$0.00,-,-,-,-
AVA,AptRatings.com,3,0,0,0,$0.00,-,-,-,-
AVA,Facebook,11,1,1,0,$0.00,-,-,-,-
AVA,Property Website,522.99,114.7,39.48,22.47,$0.00,-,-,-,-
AVA,Resident Referral,37,26,14,4,$0.00,-,-,-,-
AVA,Zillow,3.5,3,1,1,$0.00,-,-,-,-
